"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Premium Charge Ru","*","*","%customer_code_gbp%","00005","RU","~","TRA","~","4105","~","~","4101","~","~","~","~","~","~","~","005","1276","2076","1146","04","04","01","02","03","~","~","KL5","8865","872","8392","8495","Credit","Debit","8845","872","Credit","Debit","~","~","%region_ext_bu%","T","3111","311","3111","338","~","~","TVR","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Premium Charge Pd","*","*","%customer_code_gbp%","00005","PD","~","TRA","~","4102","~","~","4101","~","~","~","~","~","~","~","005","1274","2074","1144","04","04","01","02","03","~","~","KL5","8862","872","8392","8492","Credit","Debit","8842","872","Credit","Debit","~","~","%region_ext_bu%","T","3111","311","3111","338","~","~","TVR","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XPT","USD","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_usd%","00006","PT","TRAD","~","4101","~","4101","4101","~","4151","4151","2101","4141","4141","~","~","BSUS","1273","2073","1143","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","EUR","GBP;EUR;USD;ZAR","*","Metal Rentals - IRIDIUM","*","Sell","%customer_code_eur%","00007","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KL5E","8370","8483","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Transfer Charge","*","Sell","%customer_code_usd%","00006","CHARGE","~","~","~","~","~","~","~","~","~","~","~","~","~","~","TRAD","4005","~","~","410","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3111","311","3111","338","~","~","TVRD","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","GL","XRH","EUR","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_eur%","00007","RH","TRAE","~","4104","~","4104","4101","~","4151","4151","2101","4141","4141","~","~","BSEU","1275","2075","1145","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XRH","GBP","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_gbp%","00005","RH","TRA","~","4104","~","4104","4101","~","4151","4151","2101","4141","4141","~","~","005","1275","2075","1145","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","GBP","GBP;EUR;USD;ZAR","*","Premium Charge Ir","*","*","%customer_code_gbp%","00005","IR","~","TRA","~","4103","~","~","4101","~","~","~","~","~","~","~","005","1277","2077","1147","04","04","01","02","03","~","~","KL5","8863","872","8392","8493","Credit","Debit","8843","872","Credit","Debit","~","~","%region_ext_bu%","T","3111","311","3111","338","~","~","TVR","3000","~","~","~","~","1182","20","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XRH","USD","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_usd%","00006","RH","TRAD","~","4104","~","4104","4101","~","4151","4151","2101","4141","4141","~","~","BSUS","1275","2075","1145","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XRU","EUR","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_eur%","00007","RU","TRAE","~","4105","~","4105","4101","~","4151","4151","2101","4141","4141","~","~","BSEU","1276","2076","1146","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XRU","GBP","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_gbp%","00005","RU","TRA","~","4105","~","4105","4101","~","4151","4151","2101","4141","4141","~","~","005","1276","2076","1146","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","GL","XRU","USD","GBP;EUR;USD;ZAR","*","*","*","*","%customer_code_usd%","00006","RU","TRAD","~","4105","~","4105","4101","~","4151","4151","2101","4141","4141","~","~","BSUS","1276","2076","1146","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
